Brand,Rating,Price,Review,Features,Discount
Ai,4.5,"₹30,999","12,709 Ratings & 966 Reviews",8 GB RAM | 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty,27% off
Ai,4.5,"₹28,999","12,709 Ratings & 966 Reviews",8 GB RAM | 128 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty,25% off
realme,3.9,"₹6,999","56,211 Ratings & 2,514 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",17% off
realme,3.9,"₹8,999","3,775 Ratings & 327 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,22% off
MOTOROLA,4.4,"₹23,999",377 Ratings & 15 Reviews,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 5MP + 2MP | 13MP Front Camera5000 mAh BatterySamsung Exynos 1330 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,20% off
Ai,4.4,"₹17,990","4,852 Ratings & 221 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories,25% off
Ai,4.4,"₹15,185","8,561 Ratings & 440 Reviews",6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories,27% off
POCO,4.2,"₹10,999","20,137 Ratings & 1,265 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,22% off
MOTOROLA,4.5,"₹31,999","3,472 Ratings & 249 Reviews",12 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,22% off
POCO,4.5,"₹27,999","13,639 Ratings & 869 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,20% off
vivo,4.5,"₹27,999","13,639 Ratings & 869 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,15% off
Ai,4.5,"₹29,999","13,639 Ratings & 869 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,25% off
MOTOROLA,4.5,"₹29,999","13,639 Ratings & 869 Reviews",8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 2MP + 50MP | 32MP Front Camera6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,27% off
Samsung,4.4,"₹32,999","7,515 Ratings & 455 Reviews",12 GB RAM | 256 GB ROM43.66 cm (17.19 cm) Full HD+ Display50MP (Main) + 50MP (3X Periscope)+ 8MP (Ultra-Wide) | 50MP Front Camera5000 mAh Battery7s Gen3 Processor1 Year Manufacturing Warranty,25% off
POCO,4.5,"₹74,999","1,430 Ratings & 89 Reviews",12 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Quad HD+ Display48MP + 13MP + 10.8MP | 10.5MP Front Camera4970 mAh BatteryTensor G5 Processor1 Year Domestic Warranty,24% off
MOTOROLA,4.4,"₹13,257",377 Ratings & 27 Reviews,6 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera7000 mAh Battery12 Months Brand Warranty,22% off
MOTOROLA,4.2,"₹10,429","8,828 Ratings & 440 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,20% off
MOTOROLA,4.3,"₹12,225","6,396 Ratings & 259 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display32MP Rear Camera6000 mAh Battery1 Year Warranty,15% off
realme,4.2,"₹12,398","18,249 Ratings & 1,054 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh BatterySnapdragon 4 Gen2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,22% off
Ai,4.3,"₹13,999","5,766 Ratings & 312 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) Display50MP AI Dual Camera7000 mAh BatterySnapdragon 6s Gen 3 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,30% off
REDMI,4.2,"₹9,999","38,969 Ratings & 2,279 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,19% off
MOTOROLA,4.1,"₹6,699","5,718 Ratings & 337 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,22% off
vivo,4.3,"₹15,069",113 Ratings & 6 Reviews,8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera7000 mAh Battery12 Months Brand Warranty,13% off
MOTOROLA,4.3,"₹11,499","15,965 Ratings & 770 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,15% off
REDMI,4.3,"₹13,499","23,684 Ratings & 1,014 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,32% off
realme,4.2,"₹9,699","8,376 Ratings & 320 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.14 cm (6.75 inch) HD+ Display13MP Rear Camera | 5MP Front Camera6300 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,11% off
POCO,4.2,"₹8,299","1,48,097 Ratings & 6,513 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,24% off
realme,4.4,"₹10,749","7,056 Ratings & 295 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,17% off
MOTOROLA,4.2,"₹7,299","77,645 Ratings & 4,687 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5100 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,27% off
POCO,4.1,"₹12,999","1,518 Ratings & 103 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) Display50MP Rear Camera7000 mAh BatterySnapdragon 6s Gen 3 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,18% off
POCO,4.1,"₹7,999","32,051 Ratings & 1,495 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",20% off
realme,4.4,"₹13,999","4,477 Ratings & 360 Reviews",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,22% off
MOTOROLA,4.2,"₹10,999","1,21,166 Ratings & 7,435 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,12% off
MOTOROLA,4.2,"₹10,999","1,21,166 Ratings & 7,435 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,12% off
REDMI,4.3,"₹13,499","23,684 Ratings & 1,014 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Warranty on the Handset and 6 Months Warranty on the Inbox Accessories,32% off
MOTOROLA,4.4,"₹15,999","6,214 Ratings & 352 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera7000 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,15% off
realme,4.3,"₹8,864","1,416 Ratings & 73 Reviews",6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) HD+ Display32MP Rear Camera6300 mAh Battery1 year brand Warranty,19% off
POCO,4.1,"₹10,499","72,531 Ratings & 3,356 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,19% off
vivo,4.4,"₹10,999","42,272 Ratings & 1,241 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,15% off
MOTOROLA,4.3,"₹7,999","4,471 Ratings & 284 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,20% off
Ai,4.1,"₹6,699","5,718 Ratings & 337 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,33% off
POCO,3.9,"₹6,999","56,211 Ratings & 2,514 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",22% off
MOTOROLA,4.3,"₹16,999","26,800 Ratings & 1,728 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Super HD Display50MP + 8MP | 32MP Front Camera6720 mAh BatteryDimensity 7400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,15% off
Ai,3.9,"₹8,999","3,775 Ratings & 327 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,30% off
POCO,4.3,"₹11,499","15,965 Ratings & 770 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,17% off
POCO,4.1,"₹10,499","72,531 Ratings & 3,356 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,19% off
REDMI,4.2,"₹7,999","4,610 Ratings & 227 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,20% off
Samsung,4.2,"₹9,999","38,969 Ratings & 2,279 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,28% off
realme,4.4,"₹12,999","71,458 Ratings & 2,716 Reviews",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD Display50MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,23% off
realme,4.3,"₹15,499","1,334 Ratings & 129 Reviews",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,18% off
MOTOROLA,4.3,"₹16,999","26,800 Ratings & 1,728 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Super HD Display50MP + 8MP | 32MP Front Camera6720 mAh BatteryDimensity 7400 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,15% off
POCO,4.3,"₹12,999","36,063 Ratings & 2,594 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,31% off
POCO,4.2,"₹8,999","1,48,097 Ratings & 6,513 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,21% off
realme,4.4,"₹10,749","7,056 Ratings & 295 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,17% off
REDMI,4.1,"₹6,999","6,831 Ratings & 319 Reviews",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryT7250 Processor1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,22% off
vivo,4.5,"₹20,999","52,990 Ratings & 2,361 Reviews",8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera5700 mAh BatteryDimensity 7400 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,10% off
OPPO,4.5,"₹13,999","82,962 Ratings & 6,107 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,17% off
POCO,4.1,"₹7,999","32,051 Ratings & 1,495 Reviews","6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",20% off
MOTOROLA,4.4,"₹18,999","83,209 Ratings & 4,177 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5500 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,17% off
realme,4.4,"₹17,999","18,673 Ratings & 1,189 Reviews",6 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,14% off
POCO,3.9,"₹6,999","56,211 Ratings & 2,514 Reviews","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",22% off
Samsung,4.2,"₹8,999","38,969 Ratings & 2,279 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,28% off
CMF,4.4,"₹17,499","68,942 Ratings & 4,728 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,23% off
vivo,4.4,"₹18,499","1,52,753 Ratings & 7,200 Reviews",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,11% off
realme,4.4,"₹10,749","7,056 Ratings & 295 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Display32MP Rear Camera | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,17% off
realme,4.3,"₹17,499","1,334 Ratings & 129 Reviews",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,16% off
vivo,4.4,"₹11,999","42,272 Ratings & 1,241 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD+ Display50MP + 2MP | 5MP Front Camera6000 mAh BatteryDimensity 6300 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,14% off
CMF,4.4,"₹17,499","68,942 Ratings & 4,728 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,23% off
MOTOROLA,4.3,"₹32,999","13,545 Ratings & 1,101 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 10MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,19% off
vivo,4.5,"₹15,499","2,03,501 Ratings & 8,940 Reviews",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display50MP + 2MP | 8MP Front Camera6500 mAh BatteryDimensity 7300 5G Processor1 Year Warranty for Device and 6 Months Warranty for Accessories,13% off
POCO,4.3,"₹11,499","15,965 Ratings & 770 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,17% off
Ai,3.9,"₹8,999","3,775 Ratings & 327 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,30% off
realme,4.4,"₹13,256",377 Ratings & 27 Reviews,6 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera7000 mAh Battery12 Months Brand Warranty,22% off
Ai,3.9,"₹8,999","3,775 Ratings & 327 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,30% off
OPPO,4.5,"₹15,999","14,140 Ratings & 823 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,15% off
POCO,4.3,"₹11,499","15,965 Ratings & 770 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5160 mAh Battery4 Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,17% off
POCO,4.3,"₹12,999","36,063 Ratings & 2,594 Reviews",6 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 20MP Front Camera5110 mAh BatteryDimensity 7025 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,31% off
